via,NPTH,PTH,count,metric_min_mm,metric_max_mm,imperial_min_in,imperial_max_in,positions_mm,positions_in
false,false,true,2,1.016000,1.016000,0.040000,0.040000,(2.764400 6.367200)(-7.550400 0.873200),(0.108835 0.250677)(-0.297260 0.034378)
false,false,true,6,0.812800,0.812800,0.032000,0.032000,(1.188800 -4.642400)(-0.843200 -4.642400)(5.868800 0.496000)(5.868800 -2.044000)(5.145666 4.483331)(5.145666 7.023331),(0.046803 -0.182772)(-0.033197 -0.182772)(0.231055 0.019528)(0.231055 -0.080472)(0.202585 0.176509)(0.202585 0.276509)
